日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150904","2317","鴻海","49284342","12546210054","252.50","256.00","251.00","256.00","8.5000","40905"
"1150904","2330","台積電","14090018","33888454230","2415.00","2415.00","2390.00","2410.00","20.0000","43437"
"1150904","2890","永豐金","19136125","817200898","42.65","43.10","42.35","42.85","0.2500","14413"
"1150904","3037","欣興","40840597","36660658008","930.00","940.00","873.00","902.00","-21.0000","97966"
"1150904","6449","鈺邦","1582396","366571780","225.00","238.00","224.50","237.50","21.0000","2890"
"1150904","8046","南電","18619387","19503732175","1075.00","1095.00","1010.00","1055.00","-25.0000","36641"
